Iteration,Discriminator Loss,Generator Loss
10110,1.438461,0.771442
10120,1.227463,0.601836
10130,1.365417,0.707142
10140,1.347565,0.532540
10150,1.287037,0.677165
10160,1.398307,0.713091
10170,1.337504,0.598158
10180,1.378046,0.705237
10190,1.328680,0.621135
10200,1.294871,0.608609
10210,1.246070,0.595318
10220,1.308097,0.636966
10230,1.343575,0.652773
10240,1.245462,0.402789
10250,1.427676,0.720583
10260,1.306770,0.643551
10270,1.233786,0.707877
10280,1.420975,0.440303
10290,1.334308,0.578133
10300,1.369506,0.584240
10310,1.374799,0.817143
10320,1.183471,0.669265
10330,1.274272,0.477519
10340,1.285461,0.674699
10350,1.222953,0.508251
10360,1.229017,0.725728
10370,1.361470,0.945131
10380,1.286472,0.699554
10390,1.227984,0.474580
10400,1.192047,0.553263
10410,1.262444,0.546151
10420,1.325592,0.620545
10430,1.330272,0.545703
10440,1.377998,0.591213
10450,1.354730,0.554829
10460,1.267193,0.613123
10470,1.207190,0.634584
10480,1.315230,0.538582
10490,1.300604,0.584352
10500,1.260406,0.593352
10510,1.271942,0.636793
10520,1.308947,0.670545
10530,1.305777,0.565710
10540,1.362994,0.748814
10550,1.341034,0.781474
10560,1.335142,0.664674
10570,1.233307,0.561013
10580,1.296307,0.702250
10590,1.262152,0.548949
10600,1.373598,0.715000
10610,1.289406,0.633239
10620,1.425996,0.704433
10630,1.240318,0.496689
10640,1.240998,0.759208
10650,1.275015,0.616013
10660,1.366433,0.773108
10670,1.377072,0.713917
10680,1.304736,0.553004
10690,1.348713,0.671768
10700,1.258450,0.525772
10710,1.352832,0.685770
10720,1.348694,0.643498
